,is_punct,is_stop,sent_id,token
0,False,False,1,mr.
1,False,False,1,vice
2,False,False,1,president
3,True,False,1,","
4,False,False,1,mr.
5,False,False,1,speaker
6,True,False,1,","
7,False,False,1,members
8,False,True,1,of
9,False,True,1,the
10,False,False,1,senate
11,True,False,1,","
12,False,True,1,and
13,False,True,1,of
14,False,True,1,the
15,False,False,1,house
16,False,True,1,of
17,False,False,1,representatives
18,True,False,1,:
19,False,False,1,yesterday
20,True,False,1,","
21,False,False,1,december
22,False,False,1,7th
23,True,False,1,","
24,False,False,1,1941
25,False,False,1,--
26,False,True,1,a
27,False,False,1,date
28,False,True,1,which
29,False,True,1,will
30,False,False,1,live
31,False,True,1,in
32,False,False,1,infamy
33,False,False,1,--
34,False,True,1,the
35,False,False,1,united
36,False,False,1,states
37,False,True,1,of
38,False,False,1,america
39,False,True,1,was
40,False,False,1,suddenly
41,False,True,1,and
42,False,False,1,deliberately
43,False,False,1,attacked
44,False,True,1,by
45,False,False,1,naval
46,False,True,1,and
47,False,False,1,air
48,False,False,1,forces
49,False,True,1,of
50,False,True,1,the
51,False,False,1,empire
52,False,True,1,of
53,False,False,1,japan
54,True,False,1,.
55,False,True,2,the
56,False,False,2,united
57,False,False,2,states
58,False,True,2,was
59,False,True,2,at
60,False,False,2,peace
61,False,True,2,with
62,False,True,2,that
63,False,False,2,nation
64,False,True,2,and
65,True,False,2,","
66,False,True,2,at
67,False,True,2,the
68,False,False,2,solicitation
69,False,True,2,of
70,False,False,2,japan
71,True,False,2,","
72,False,True,2,was
73,False,False,2,still
74,False,True,2,in
75,False,False,2,conversation
76,False,True,2,with
77,False,True,2,its
78,False,False,2,government
79,False,True,2,and
80,False,True,2,its
81,False,False,2,emperor
82,False,False,2,looking
83,False,False,2,toward
84,False,True,2,the
85,False,False,2,maintenance
86,False,True,2,of
87,False,False,2,peace
88,False,True,2,in
89,False,True,2,the
90,False,False,2,pacific
91,True,False,2,.
92,False,False,3,indeed
93,True,False,3,","
94,False,False,3,one
95,False,False,3,hour
96,False,True,3,after
97,False,False,3,japanese
98,False,False,3,air
99,False,False,3,squadrons
100,False,True,3,had
101,False,False,3,commenced
102,False,False,3,bombing
103,False,True,3,in
104,False,True,3,the
105,False,False,3,american
106,False,False,3,island
107,False,True,3,of
108,False,False,3,oahu
109,True,False,3,","
110,False,True,3,the
111,False,False,3,japanese
112,False,False,3,ambassador
113,False,True,3,to
114,False,True,3,the
115,False,False,3,united
116,False,False,3,states
117,False,True,3,and
118,False,True,3,his
119,False,False,3,colleague
120,False,False,3,delivered
121,False,True,3,to
122,False,True,3,our
123,False,False,3,secretary
124,False,True,3,of
125,False,False,3,state
126,False,True,3,a
127,False,False,3,formal
128,False,False,3,reply
129,False,True,3,to
130,False,True,3,a
131,False,False,3,recent
132,False,False,3,american
133,False,False,3,message
134,True,False,3,.
135,False,True,4,and
136,False,True,4,while
137,False,True,4,this
138,False,False,4,reply
139,False,False,4,stated
140,False,True,4,that
141,False,True,4,it
142,False,False,4,seemed
143,False,False,4,useless
144,False,True,4,to
145,False,False,4,continue
146,False,True,4,the
147,False,False,4,existing
148,False,False,4,diplomatic
149,False,False,4,negotiations
150,True,False,4,","
151,False,True,4,it
152,False,False,4,contained
153,False,True,4,no
154,False,False,4,threat
155,False,True,4,or
156,False,False,4,hint
157,False,True,4,of
158,False,False,4,war
159,False,True,4,or
160,False,True,4,of
161,False,False,4,armed
162,False,False,4,attack
163,True,False,4,.
164,False,True,5,it
165,False,True,5,will
166,False,True,5,be
167,False,False,5,recorded
168,False,True,5,that
169,False,True,5,the
170,False,False,5,distance
171,False,True,5,of
172,False,False,5,hawaii
173,False,True,5,from
174,False,False,5,japan
175,False,False,5,makes
176,False,True,5,it
177,False,False,5,obvious
178,False,True,5,that
179,False,True,5,the
180,False,False,5,attack
181,False,True,5,was
182,False,False,5,deliberately
183,False,False,5,planned
184,False,False,5,many
185,False,False,5,days
186,False,True,5,or
187,False,False,5,even
188,False,False,5,weeks
189,False,False,5,ago
190,True,False,5,.
191,False,True,6,during
192,False,True,6,the
193,False,False,6,intervening
194,False,False,6,time
195,True,False,6,","
196,False,True,6,the
